nama_sekolah,npsn,bp,status,pd,guru,kecamatan,wilayah
SMAN 79 JAKARTA,20107320,SMA,Negeri,700,33,Setia Budi,Kota Jakarta Selatan
SMAS 2 YADIKA,20101630,SMA,Swasta,591,27,Kali Deres,Kota Jakarta Barat
SMAS BAKTI IDHATA JAKARTA,20107280,SMA,Swasta,468,26,Cilandak,Kota Jakarta Selatan
SMAS SUMBANGSIH JAKARTA,20107332,SMA,Swasta,339,25,Pasar Minggu,Kota Jakarta Selatan
SMA Islam Al Azhar 19,69977033,SMA,Swasta,299,24,Ciracas,Kota Jakarta Timur
SMA PERGURUAN RAKYAT 1 JAKARTA,20109524,SMA,Swasta,311,23,Jagakarsa,Kota Jakarta Selatan
SMAS SANTO KRISTOFORUS 1,20101616,SMA,Swasta,191,18,Grogol Petamburan,Kota Jakarta Barat
SMAS NURUL FALAH JAKARTA,20107387,SMA,Swasta,341,18,Cilincing,Kota Jakarta Utara
SMAS TANJUNG PRIOK JAKARTA,20107395,SMA,Swasta,401,16,Koja,Kota Jakarta Utara
SMAS TRAMPIL 2 JAKARTA,20107591,SMA,Swasta,104,16,Kramat Jati,Kota Jakarta Timur
SMAS CITA BUANA,20107290,SPK SMA,Swasta,124,13,Jagakarsa,Kota Jakarta Selatan
SMA PAH TSUNG,NP708533,SMA,Swasta,47,12,Cengkareng,Kota Jakarta Barat
SMAS VIANNEY,20101618,SMA,Swasta,136,12,Cengkareng,Kota Jakarta Barat
SMAS PGRI 12 JAKARTA,20100608,SMA,Swasta,120,11,Kelapa Gading,Kota Jakarta Utara
SMAS KATOLIK DIAKONIA JAKARTA,20100631,SMA,Swasta,58,11,Penjaringan,Kota Jakarta Utara
SMAS BINA NUSANTARA,20107283,SPK SMA,Swasta,385,11,Kebayoran Lama,Kota Jakarta Selatan
SMAS SANTIKA,20103198,SMA,Swasta,90,10,Cipayung,Kota Jakarta Timur
SMAS UNIVERSAL,20107251,SPK SMA,Swasta,157,10,Kemayoran,Kota Jakarta Pusat
SMAS DARUNNAJAH,20107292,SMA,Swasta,318,9,Pesanggrahan,Kota Jakarta Selatan
